Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^IBEX,^IBEX,^IBEX,^IBEX,^IBEX,^IBEX
Date,,,,,,
2020-03-25 00:00:00+00:00,6942.39990234375,6942.39990234375,7058.10009765625,6625.7998046875,6985.89990234375,322631900
2020-03-26 00:00:00+00:00,7033.2001953125,7033.2001953125,7033.2001953125,6759.10009765625,6789.0,248806600
2020-03-27 00:00:00+00:00,6777.89990234375,6777.89990234375,6936.7001953125,6661.89990234375,6916.7001953125,225316500
2020-03-30 00:00:00+00:00,6659.89990234375,6659.89990234375,6789.10009765625,6507.0,6748.60009765625,232005200
2020-03-31 00:00:00+00:00,6785.39990234375,6785.39990234375,6802.0,6624.7001953125,6746.7998046875,258181200
2020-04-01 00:00:00+00:00,6579.39990234375,6579.39990234375,6687.7998046875,6565.2001953125,6627.2998046875,235113700
2020-04-02 00:00:00+00:00,6574.10009765625,6574.10009765625,6658.89990234375,6424.5,6633.7001953125,233309800
2020-04-03 00:00:00+00:00,6581.60009765625,6581.60009765625,6632.5,6509.39990234375,6563.60009765625,215387500
2020-04-06 00:00:00+00:00,6844.2998046875,6844.2998046875,6874.89990234375,6728.60009765625,6807.89990234375,225965400
2020-04-07 00:00:00+00:00,7002.0,7002.0,7119.10009765625,6903.60009765625,6986.89990234375,260857500
2020-04-08 00:00:00+00:00,6951.7998046875,6951.7998046875,6952.5,6860.60009765625,6930.2001953125,155910100
2020-04-09 00:00:00+00:00,7070.60009765625,7070.60009765625,7116.7998046875,6918.7001953125,7049.2998046875,240348600
2020-04-14 00:00:00+00:00,7108.60009765625,7108.60009765625,7209.7001953125,7080.2998046875,7209.7001953125,259986200
2020-04-15 00:00:00+00:00,6839.5,6839.5,7086.7998046875,6816.39990234375,7065.60009765625,289924500
2020-04-16 00:00:00+00:00,6763.39990234375,6763.39990234375,6950.89990234375,6733.10009765625,6930.7998046875,237962600
2020-04-17 00:00:00+00:00,6875.7998046875,6875.7998046875,7000.2998046875,6845.0,6942.5,251272600
2020-04-20 00:00:00+00:00,6831.5,6831.5,6933.2998046875,6715.0,6932.5,186644500
2020-04-21 00:00:00+00:00,6634.89990234375,6634.89990234375,6760.89990234375,6634.89990234375,6741.2998046875,200783000
2020-04-22 00:00:00+00:00,6719.7998046875,6719.7998046875,6729.60009765625,6654.2001953125,6685.10009765625,177928500
2020-04-23 00:00:00+00:00,6746.5,6746.5,6797.60009765625,6713.60009765625,6758.7001953125,163723500
2020-04-24 00:00:00+00:00,6613.89990234375,6613.89990234375,6710.7998046875,6578.10009765625,6641.2998046875,182925300
2020-04-27 00:00:00+00:00,6731.7998046875,6731.7998046875,6790.10009765625,6667.2998046875,6780.89990234375,147263100
2020-04-28 00:00:00+00:00,6836.39990234375,6836.39990234375,6857.89990234375,6707.89990234375,6724.60009765625,233782400
2020-04-29 00:00:00+00:00,7055.7001953125,7055.7001953125,7055.7001953125,6816.7998046875,6829.39990234375,247762400
2020-04-30 00:00:00+00:00,6922.2998046875,6922.2998046875,7128.39990234375,6918.2998046875,7084.7998046875,314979200
2020-05-04 00:00:00+00:00,6673.2998046875,6673.2998046875,6767.7001953125,6673.2998046875,6767.7001953125,241555200
2020-05-05 00:00:00+00:00,6747.7001953125,6747.7001953125,6815.89990234375,6680.7001953125,6772.2001953125,203873600
2020-05-06 00:00:00+00:00,6671.7001953125,6671.7001953125,6762.5,6666.2001953125,6719.7998046875,166015200
2020-05-07 00:00:00+00:00,6730.89990234375,6730.89990234375,6747.2001953125,6666.39990234375,6714.89990234375,167460700
2020-05-08 00:00:00+00:00,6783.10009765625,6783.10009765625,6807.39990234375,6715.39990234375,6790.7001953125,128578300
2020-05-11 00:00:00+00:00,6672.2001953125,6672.2001953125,6854.7001953125,6651.7001953125,6830.89990234375,217443300
2020-05-12 00:00:00+00:00,6762.7001953125,6762.7001953125,6795.10009765625,6663.2001953125,6672.7001953125,172853600
2020-05-13 00:00:00+00:00,6631.39990234375,6631.39990234375,6728.2001953125,6631.39990234375,6694.0,245673600
2020-05-14 00:00:00+00:00,6545.60009765625,6545.60009765625,6609.0,6421.39990234375,6569.7001953125,258952900
2020-05-15 00:00:00+00:00,6474.89990234375,6474.89990234375,6624.2998046875,6466.0,6594.39990234375,203854400
2020-05-18 00:00:00+00:00,6779.2998046875,6779.2998046875,6790.2001953125,6558.10009765625,6583.10009765625,203486600
2020-05-19 00:00:00+00:00,6609.10009765625,6609.10009765625,6872.60009765625,6555.60009765625,6864.2001953125,501358300
2020-05-20 00:00:00+00:00,6683.60009765625,6683.60009765625,6697.10009765625,6499.10009765625,6593.39990234375,341451800
2020-05-21 00:00:00+00:00,6686.10009765625,6686.10009765625,6773.39990234375,6579.89990234375,6612.7001953125,258583100
2020-05-22 00:00:00+00:00,6697.5,6697.5,6751.7998046875,6585.7001953125,6618.2001953125,292688300
2020-05-25 00:00:00+00:00,6856.7998046875,6856.7998046875,6856.7998046875,6725.2001953125,6766.60009765625,187072800
2020-05-26 00:00:00+00:00,7003.89990234375,7003.89990234375,7023.7998046875,6917.10009765625,6940.60009765625,383729100
2020-05-27 00:00:00+00:00,7174.5,7174.5,7229.0,7030.2001953125,7034.0,501006600
2020-05-28 00:00:00+00:00,7224.10009765625,7224.10009765625,7244.5,7141.39990234375,7237.2998046875,375466600
2020-05-29 00:00:00+00:00,7096.5,7096.5,7201.7998046875,7096.5,7164.2998046875,903979900
2020-06-01 00:00:00+00:00,7221.39990234375,7221.39990234375,7276.0,7160.10009765625,7228.7001953125,291929600
2020-06-02 00:00:00+00:00,7408.10009765625,7408.10009765625,7445.2998046875,7236.89990234375,7264.0,402947100
2020-06-03 00:00:00+00:00,7626.39990234375,7626.39990234375,7629.7001953125,7448.89990234375,7487.2998046875,445036400
2020-06-04 00:00:00+00:00,7566.7998046875,7566.7998046875,7669.2001953125,7516.0,7567.7001953125,514858000
2020-06-05 00:00:00+00:00,7872.60009765625,7872.60009765625,7890.39990234375,7664.10009765625,7672.0,573283900
2020-06-08 00:00:00+00:00,7896.10009765625,7896.10009765625,7992.7001953125,7796.60009765625,7813.10009765625,557213300
2020-06-09 00:00:00+00:00,7752.2998046875,7752.2998046875,7914.7001953125,7683.2001953125,7878.2001953125,453061900
2020-06-10 00:00:00+00:00,7663.89990234375,7663.89990234375,7861.0,7649.39990234375,7779.7998046875,355564600
2020-06-11 00:00:00+00:00,7278.0,7278.0,7486.5,7278.0,7486.5,456667800
2020-06-12 00:00:00+00:00,7292.7001953125,7292.7001953125,7425.2998046875,7205.0,7232.2001953125,370125100
2020-06-15 00:00:00+00:00,7259.2998046875,7259.2998046875,7309.39990234375,7062.89990234375,7116.89990234375,329041900
2020-06-16 00:00:00+00:00,7495.2998046875,7495.2998046875,7599.2998046875,7349.7001953125,7420.7998046875,388212600
2020-06-17 00:00:00+00:00,7478.7001953125,7478.7001953125,7552.5,7402.5,7458.10009765625,333500600
2020-06-18 00:00:00+00:00,7390.2001953125,7390.2001953125,7495.2001953125,7318.10009765625,7436.39990234375,326763200
2020-06-19 00:00:00+00:00,7414.2001953125,7414.2001953125,7502.10009765625,7401.0,7444.2001953125,634635200
2020-06-22 00:00:00+00:00,7345.7001953125,7345.7001953125,7426.89990234375,7300.7001953125,7371.60009765625,220420500
2020-06-23 00:00:00+00:00,7438.39990234375,7438.39990234375,7495.10009765625,7366.60009765625,7408.7998046875,260896400
2020-06-24 00:00:00+00:00,7195.5,7195.5,7440.89990234375,7195.5,7403.89990234375,248464400
2020-06-25 00:00:00+00:00,7270.2998046875,7270.2998046875,7295.7998046875,7077.7998046875,7176.39990234375,267871700
2020-06-26 00:00:00+00:00,7178.39990234375,7178.39990234375,7344.89990234375,7172.10009765625,7324.5,215724300
2020-06-29 00:00:00+00:00,7278.10009765625,7278.10009765625,7318.2998046875,7146.2998046875,7160.10009765625,216619400
2020-06-30 00:00:00+00:00,7231.39990234375,7231.39990234375,7307.5,7173.0,7270.60009765625,233654700
2020-07-01 00:00:00+00:00,7227.39990234375,7227.39990234375,7283.89990234375,7127.10009765625,7245.60009765625,194032100
2020-07-02 00:00:00+00:00,7498.60009765625,7498.60009765625,7538.2001953125,7292.7001953125,7292.7001953125,310243600
2020-07-03 00:00:00+00:00,7403.5,7403.5,7520.60009765625,7374.89990234375,7510.2998046875,181467000
2020-07-06 00:00:00+00:00,7556.2001953125,7556.2001953125,7632.2998046875,7517.2998046875,7566.5,253508300
2020-07-07 00:00:00+00:00,7447.39990234375,7447.39990234375,7511.2998046875,7441.2998046875,7491.5,191351100
2020-07-08 00:00:00+00:00,7326.39990234375,7326.39990234375,7382.7001953125,7307.39990234375,7361.0,213489300
2020-07-09 00:00:00+00:00,7236.89990234375,7236.89990234375,7383.5,7221.10009765625,7369.89990234375,176465600
2020-07-10 00:00:00+00:00,7321.10009765625,7321.10009765625,7324.2998046875,7183.2001953125,7198.39990234375,182314500
2020-07-13 00:00:00+00:00,7426.89990234375,7426.89990234375,7452.10009765625,7345.89990234375,7403.2001953125,179024200
2020-07-14 00:00:00+00:00,7352.0,7352.0,7352.0,7268.39990234375,7344.39990234375,201386900
2020-07-15 00:00:00+00:00,7487.60009765625,7487.60009765625,7529.60009765625,7317.60009765625,7416.10009765625,262957900
2020-07-16 00:00:00+00:00,7474.7001953125,7474.7001953125,7498.0,7425.2998046875,7438.7998046875,178623900
2020-07-17 00:00:00+00:00,7440.39990234375,7440.39990234375,7485.0,7395.7998046875,7474.10009765625,196831900
2020-07-20 00:00:00+00:00,7478.0,7478.0,7495.5,7365.10009765625,7442.5,148683100
2020-07-21 00:00:00+00:00,7494.5,7494.5,7654.7998046875,7473.5,7554.2001953125,300453100
2020-07-22 00:00:00+00:00,7390.10009765625,7390.10009765625,7498.60009765625,7368.2001953125,7474.7001953125,192701200
2020-07-23 00:00:00+00:00,7384.89990234375,7384.89990234375,7442.2001953125,7357.2001953125,7434.7001953125,167589000
2020-07-24 00:00:00+00:00,7294.7001953125,7294.7001953125,7322.7001953125,7241.10009765625,7301.7998046875,183906100
2020-07-27 00:00:00+00:00,7170.60009765625,7170.60009765625,7268.0,7141.2998046875,7267.7998046875,232707600
2020-07-28 00:00:00+00:00,7246.39990234375,7246.39990234375,7257.2998046875,7170.60009765625,7191.89990234375,162297200
2020-07-29 00:00:00+00:00,7206.2001953125,7206.2001953125,7260.2001953125,7171.2998046875,7247.60009765625,210361700
2020-07-30 00:00:00+00:00,6996.60009765625,6996.60009765625,7192.7001953125,6924.7001953125,7192.2998046875,324376500
2020-07-31 00:00:00+00:00,6877.39990234375,6877.39990234375,7049.5,6877.39990234375,7025.2001953125,312298100
2020-08-03 00:00:00+00:00,6975.0,6975.0,6983.2998046875,6788.89990234375,6867.39990234375,282337300
2020-08-04 00:00:00+00:00,7021.60009765625,7021.60009765625,7064.7998046875,6955.39990234375,7003.0,225242000
2020-08-05 00:00:00+00:00,7039.7001953125,7039.7001953125,7123.5,7027.7001953125,7073.2001953125,208795900
2020-08-06 00:00:00+00:00,6957.89990234375,6957.89990234375,7046.10009765625,6917.0,7022.10009765625,205847300
2020-08-07 00:00:00+00:00,6950.5,6950.5,6961.7998046875,6876.7001953125,6929.10009765625,184151000
2020-08-10 00:00:00+00:00,7053.89990234375,7053.89990234375,7053.89990234375,6957.0,7004.39990234375,208030800
2020-08-11 00:00:00+00:00,7263.5,7263.5,7290.10009765625,7104.0,7104.0,271632300
2020-08-12 00:00:00+00:00,7296.0,7296.0,7317.89990234375,7225.7001953125,7250.2998046875,219850300
2020-08-13 00:00:00+00:00,7250.5,7250.5,7321.89990234375,7240.7998046875,7267.89990234375,159766300
2020-08-14 00:00:00+00:00,7154.2998046875,7154.2998046875,7227.60009765625,7064.0,7224.10009765625,175803800
2020-08-17 00:00:00+00:00,7090.10009765625,7090.10009765625,7173.2998046875,7064.10009765625,7141.5,131241200
2020-08-18 00:00:00+00:00,7043.5,7043.5,7165.60009765625,7024.39990234375,7065.7001953125,142775200
2020-08-19 00:00:00+00:00,7094.2998046875,7094.2998046875,7094.2998046875,7002.7998046875,7039.10009765625,132230000
2020-08-20 00:00:00+00:00,6993.2998046875,6993.2998046875,7034.5,6974.89990234375,7011.39990234375,155668600
2020-08-21 00:00:00+00:00,6982.10009765625,6982.10009765625,7025.89990234375,6900.5,7016.7001953125,171116500
2020-08-24 00:00:00+00:00,7109.10009765625,7109.10009765625,7120.7998046875,7037.2998046875,7044.2001953125,147789200
2020-08-25 00:00:00+00:00,7108.39990234375,7108.39990234375,7215.10009765625,7103.2001953125,7147.89990234375,189748500
2020-08-26 00:00:00+00:00,7123.0,7123.0,7136.5,7070.39990234375,7088.39990234375,122064500
2020-08-27 00:00:00+00:00,7090.7001953125,7090.7001953125,7130.2001953125,7029.2001953125,7114.10009765625,162183000
2020-08-28 00:00:00+00:00,7133.0,7133.0,7162.89990234375,7055.10009765625,7114.7001953125,193354900
2020-08-31 00:00:00+00:00,6969.5,6969.5,7198.2998046875,6960.0,7174.2998046875,205260600
2020-09-01 00:00:00+00:00,6956.89990234375,6956.89990234375,7042.0,6903.0,7038.5,226079800
2020-09-02 00:00:00+00:00,6996.89990234375,6996.89990234375,7046.10009765625,6963.89990234375,6973.10009765625,208505300
2020-09-03 00:00:00+00:00,7006.0,7006.0,7159.60009765625,6971.2001953125,7065.2001953125,246671100
2020-09-04 00:00:00+00:00,6989.7001953125,6989.7001953125,7133.39990234375,6954.7001953125,7015.7001953125,462539100
2020-09-07 00:00:00+00:00,7080.7001953125,7080.7001953125,7098.0,7013.0,7032.7998046875,257575100
2020-09-08 00:00:00+00:00,6955.0,6955.0,7102.60009765625,6899.0,7087.89990234375,246699200
2020-09-09 00:00:00+00:00,7020.89990234375,7020.89990234375,7038.60009765625,6938.89990234375,6946.39990234375,202896600
2020-09-10 00:00:00+00:00,6999.2001953125,6999.2001953125,7050.89990234375,6967.39990234375,7020.60009765625,211096000
2020-09-11 00:00:00+00:00,6943.2001953125,6943.2001953125,7000.89990234375,6910.39990234375,6989.39990234375,209115200
2020-09-14 00:00:00+00:00,6951.10009765625,6951.10009765625,7005.7001953125,6935.0,6989.7998046875,199767400
2020-09-15 00:00:00+00:00,7036.0,7036.0,7064.0,6954.7998046875,6958.89990234375,204185200
2020-09-16 00:00:00+00:00,7110.7998046875,7110.7998046875,7110.7998046875,7020.7001953125,7048.2998046875,239805900
2020-09-17 00:00:00+00:00,7086.2001953125,7086.2001953125,7101.7998046875,7013.7998046875,7027.10009765625,214242300
2020-09-18 00:00:00+00:00,6929.7998046875,6929.7998046875,7075.2998046875,6923.60009765625,7073.7998046875,975212000
2020-09-21 00:00:00+00:00,6692.2998046875,6692.2998046875,6892.89990234375,6678.7998046875,6892.89990234375,384701000
2020-09-22 00:00:00+00:00,6648.60009765625,6648.60009765625,6758.0,6645.60009765625,6752.89990234375,286493700
2020-09-23 00:00:00+00:00,6654.2001953125,6654.2001953125,6781.10009765625,6654.2001953125,6717.7998046875,294826200
2020-09-24 00:00:00+00:00,6643.39990234375,6643.39990234375,6705.7001953125,6562.60009765625,6577.60009765625,285830200
2020-09-25 00:00:00+00:00,6628.2998046875,6628.2998046875,6681.89990234375,6552.2998046875,6647.39990234375,263364400
2020-09-28 00:00:00+00:00,6791.5,6791.5,6798.89990234375,6681.39990234375,6709.2001953125,212053800
2020-09-29 00:00:00+00:00,6713.60009765625,6713.60009765625,6790.7001953125,6713.60009765625,6769.5,198774100
2020-09-30 00:00:00+00:00,6716.60009765625,6716.60009765625,6771.10009765625,6639.7001953125,6663.60009765625,247927500
2020-10-01 00:00:00+00:00,6730.7001953125,6730.7001953125,6800.7998046875,6701.2001953125,6789.10009765625,227516000
2020-10-02 00:00:00+00:00,6754.5,6754.5,6754.5,6648.89990234375,6675.39990234375,227139400
2020-10-05 00:00:00+00:00,6837.89990234375,6837.89990234375,6851.0,6794.10009765625,6814.5,237493400
2020-10-06 00:00:00+00:00,6936.2001953125,6936.2001953125,6975.39990234375,6838.7998046875,6860.10009765625,265233500
2020-10-07 00:00:00+00:00,6910.10009765625,6910.10009765625,6952.60009765625,6887.10009765625,6920.2001953125,207416200
2020-10-08 00:00:00+00:00,6992.7998046875,6992.7998046875,7018.7998046875,6951.7001953125,6953.2001953125,202093000
2020-10-09 00:00:00+00:00,6950.89990234375,6950.89990234375,7024.60009765625,6936.7001953125,6992.89990234375,182746300
2020-10-12 00:00:00+00:00,6951.0,6951.0,6979.89990234375,6924.7998046875,6968.7998046875,167258200
2020-10-13 00:00:00+00:00,6875.2001953125,6875.2001953125,6960.60009765625,6854.60009765625,6945.2001953125,205874300
2020-10-14 00:00:00+00:00,6916.60009765625,6916.60009765625,6946.7998046875,6846.5,6880.39990234375,178694400
2020-10-15 00:00:00+00:00,6816.7998046875,6816.7998046875,6842.2998046875,6763.0,6840.2001953125,237247000
2020-10-16 00:00:00+00:00,6849.7001953125,6849.7001953125,6877.0,6784.60009765625,6851.89990234375,234162000
2020-10-19 00:00:00+00:00,6860.2001953125,6860.2001953125,6932.7998046875,6816.39990234375,6882.10009765625,173622600
2020-10-20 00:00:00+00:00,6927.2998046875,6927.2998046875,6972.10009765625,6826.7001953125,6834.7998046875,221477800
2020-10-21 00:00:00+00:00,6811.5,6811.5,6962.2001953125,6806.10009765625,6961.5,207333200
2020-10-22 00:00:00+00:00,6796.60009765625,6796.60009765625,6839.5,6709.2998046875,6775.2001953125,212045300
2020-10-23 00:00:00+00:00,6893.39990234375,6893.39990234375,6902.0,6791.89990234375,6802.10009765625,221927800
2020-10-26 00:00:00+00:00,6796.89990234375,6796.89990234375,6904.2001953125,6789.7001953125,6797.89990234375,195991200
2020-10-27 00:00:00+00:00,6651.2998046875,6651.2998046875,6846.7001953125,6647.0,6845.2001953125,273169200
2020-10-28 00:00:00+00:00,6474.39990234375,6474.39990234375,6563.7998046875,6423.2998046875,6560.7998046875,323758000
2020-10-29 00:00:00+00:00,6411.7998046875,6411.7998046875,6514.0,6329.5,6467.7001953125,298195700
2020-10-30 00:00:00+00:00,6452.2001953125,6452.2001953125,6461.60009765625,6345.2998046875,6351.39990234375,260708300
2020-11-02 00:00:00+00:00,6585.60009765625,6585.60009765625,6590.7001953125,6396.2998046875,6481.39990234375,222245200
2020-11-03 00:00:00+00:00,6751.60009765625,6751.60009765625,6760.7998046875,6608.7001953125,6636.10009765625,281852500
2020-11-04 00:00:00+00:00,6781.89990234375,6781.89990234375,6790.7998046875,6563.7001953125,6616.7001953125,274816200
2020-11-05 00:00:00+00:00,6924.2001953125,6924.2001953125,6948.2998046875,6814.2001953125,6833.5,255824700
2020-11-06 00:00:00+00:00,6870.39990234375,6870.39990234375,6940.39990234375,6829.39990234375,6890.60009765625,206308100
2020-11-09 00:00:00+00:00,7459.39990234375,7459.39990234375,7535.2998046875,6945.7998046875,6972.2998046875,751200600
2020-11-10 00:00:00+00:00,7711.39990234375,7711.39990234375,7720.2998046875,7439.5,7447.10009765625,705610500
2020-11-11 00:00:00+00:00,7793.7001953125,7793.7001953125,7804.60009765625,7675.7998046875,7733.7998046875,401246900
2020-11-12 00:00:00+00:00,7726.0,7726.0,7773.2998046875,7688.0,7721.7001953125,309657400
2020-11-13 00:00:00+00:00,7783.7001953125,7783.7001953125,7823.10009765625,7686.2001953125,7698.60009765625,297808600
2020-11-16 00:00:00+00:00,7986.2001953125,7986.2001953125,8102.39990234375,7879.0,7905.89990234375,601880600
2020-11-17 00:00:00+00:00,7934.2998046875,7934.2998046875,7979.0,7835.7998046875,7979.0,428970100
2020-11-18 00:00:00+00:00,7981.5,7981.5,7994.2998046875,7888.7001953125,7914.10009765625,296385800
2020-11-19 00:00:00+00:00,7930.2001953125,7930.2001953125,7978.7998046875,7863.89990234375,7907.2001953125,261607300
2020-11-20 00:00:00+00:00,7977.89990234375,7977.89990234375,8001.10009765625,7920.0,7938.7998046875,232651500
2020-11-23 00:00:00+00:00,7981.2001953125,7981.2001953125,8067.2998046875,7972.2001953125,8029.10009765625,278313000
2020-11-24 00:00:00+00:00,8143.2001953125,8143.2001953125,8143.2001953125,8045.2998046875,8052.39990234375,351639600
2020-11-25 00:00:00+00:00,8164.7001953125,8164.7001953125,8199.900390625,8084.39990234375,8172.39990234375,294450000
2020-11-26 00:00:00+00:00,8104.60009765625,8104.60009765625,8184.89990234375,8086.7001953125,8184.7998046875,218317400
2020-11-27 00:00:00+00:00,8190.7001953125,8190.7001953125,8190.7001953125,8054.39990234375,8069.10009765625,415126100
2020-11-30 00:00:00+00:00,8076.89990234375,8076.89990234375,8165.2001953125,8075.39990234375,8130.60009765625,544905000
2020-12-01 00:00:00+00:00,8140.7998046875,8140.7998046875,8176.39990234375,8100.2001953125,8112.7001953125,284946100
2020-12-02 00:00:00+00:00,8220.7998046875,8220.7998046875,8226.2001953125,8104.2001953125,8111.10009765625,310837500
2020-12-03 00:00:00+00:00,8200.7001953125,8200.7001953125,8223.400390625,8154.7998046875,8208.099609375,233469300
